,feats_hillshade_Cp1,feats_hillshade_Cp2,feats_hillshade_Cp3,class,clusters,Cp_Product,reordered_cluster,geometry,x,y
0,2.6928139,-6.644806,-3.8900375,0,1,1633849500.0,9,POINT (15890141 -4760042),15890141.0,-4760042.0
1,1.9407196,-4.9097505,-4.506133,0,2,145925470.0,8,POINT (15890141 -4759442),15890141.0,-4759442.0
2,3.2325802,-7.229554,-4.123945,0,1,8315120600.0,9,POINT (15890141 -4758842),15890141.0,-4758842.0
3,3.1860933,-6.3939776,-3.6326113,0,4,2219435500.0,5,POINT (15890141 -4758242),15890141.0,-4758242.0
4,2.9595122,-4.4385443,-3.9403133,0,0,371498720.0,0,POINT (15890141 -4757642),15890141.0,-4757642.0
5,3.608984,-6.1966453,-4.146436,0,1,6856192000.0,9,POINT (15890141 -4757042),15890141.0,-4757042.0
6,2.365758,-6.126961,-4.0642366,0,2,709532160.0,8,POINT (15890741 -4760042),15890741.0,-4760042.0
7,2.6831994,-5.215189,-5.0614185,0,2,1782281700.0,8,POINT (15890741 -4759442),15890741.0,-4759442.0
8,2.894701,-5.6836386,-4.465712,0,2,2140939400.0,8,POINT (15890741 -4758842),15890741.0,-4758842.0
9,2.023096,-5.9716454,-3.5655594,0,3,148316980.0,4,POINT (15890741 -4758242),15890741.0,-4758242.0
10,1.8199682,-5.1276546,-2.6263447,0,0,8844463.0,0,POINT (15890741 -4757642),15890741.0,-4757642.0
11,1.5117307,-3.9805646,-2.3173208,0,0,527261.8,0,POINT (15890741 -4757042),15890741.0,-4757042.0
12,2.9169502,-4.228814,-2.7498932,0,0,44907330.0,0,POINT (15890741 -4756442),15890741.0,-4756442.0
13,3.2465982,-6.054718,-4.775614,0,1,7290515000.0,9,POINT (15890741 -4755842),15890741.0,-4755842.0
14,2.4445248,-6.714361,-4.956524,0,1,3563540000.0,9,POINT (15890741 -4755242),15890741.0,-4755242.0
15,3.0225391,-4.8079495,-2.7754378,0,3,106737460.0,4,POINT (15890741 -4754642),15890741.0,-4754642.0
16,3.0467095,-7.0464325,-5.065004,1,1,15202001000.0,9,POINT (15890741 -4754042),15890741.0,-4754042.0
17,2.2648268,-3.989668,-2.9409704,0,0,13252934.0,0,POINT (15890741 -4753442),15890741.0,-4753442.0
18,3.6260967,-6.16827,-4.1657667,0,1,7022451000.0,9,POINT (15890741 -4752842),15890741.0,-4752842.0
19,3.5867133,-5.372162,-4.2735415,0,2,3785892600.0,8,POINT (15891341 -4760042),15891341.0,-4760042.0
20,2.7690945,-6.7729797,-2.9670405,0,3,533586750.0,4,POINT (15891341 -4759442),15891341.0,-4759442.0
21,2.2139912,-5.1326084,-2.3278465,0,3,12952146.0,4,POINT (15891341 -4758842),15891341.0,-4758842.0
22,2.815998,-4.836082,-3.052493,0,3,124137640.0,4,POINT (15891341 -4758242),15891341.0,-4758242.0
23,2.5025897,-4.884946,-4.065564,0,2,303285200.0,8,POINT (15891341 -4757642),15891341.0,-4757642.0
24,3.5078259,-5.714214,-3.4727592,0,3,1634353800.0,4,POINT (15891341 -4757042),15891341.0,-4757042.0
25,2.4176083,-5.032954,-3.63385,0,0,168997170.0,0,POINT (15891341 -4756442),15891341.0,-4756442.0
26,2.7855911,-6.7447395,-4.0330253,0,1,2497856500.0,9,POINT (15891341 -4755842),15891341.0,-4755842.0
27,3.1945763,-7.2998714,-4.13414,0,1,8328528400.0,9,POINT (15891341 -4755242),15891341.0,-4755242.0
28,3.465837,-6.313442,-3.7901,0,3,3923061200.0,4,POINT (15891341 -4754642),15891341.0,-4754642.0
29,3.0787706,-7.278015,-4.297382,1,1,8278871600.0,9,POINT (15891341 -4754042),15891341.0,-4754042.0
30,2.8370285,-3.6720963,-3.0216513,1,0,30910824.0,0,POINT (15891341 -4753442),15891341.0,-4753442.0
31,2.8336143,-6.3554554,-4.922514,0,1,5474845700.0,9,POINT (15891341 -4752842),15891341.0,-4752842.0
32,2.2335582,-6.0043354,-5.1059475,0,2,1505541800.0,8,POINT (15891341 -4752242),15891341.0,-4752242.0
33,3.310348,-6.9566393,-4.183051,0,1,8295287000.0,9,POINT (15891341 -4751642),15891341.0,-4751642.0
34,3.5743084,-7.135051,-4.5221024,0,1,20400810000.0,9,POINT (15891341 -4751042),15891341.0,-4751042.0
35,2.9181643,-4.564722,-4.3328753,0,2,640473800.0,8,POINT (15891341 -4750442),15891341.0,-4750442.0
36,2.2957215,-3.7458773,-2.5540423,0,0,5110980.5,0,POINT (15891341 -4749842),15891341.0,-4749842.0
37,2.205689,-3.8988562,-2.6902404,0,0,6627698.5,0,POINT (15891341 -4749242),15891341.0,-4749242.0
38,1.871664,-3.6067495,-2.774578,0,0,2305176.0,0,POINT (15891341 -4748642),15891341.0,-4748642.0
39,3.3832412,-6.0565352,-4.3725514,0,6,5773785600.0,6,POINT (15891341 -4748042),15891341.0,-4748042.0
40,3.543624,-6.395134,-3.680068,0,3,4034275600.0,4,POINT (15891941 -4760042),15891941.0,-4760042.0
41,2.0031452,-4.9322286,-3.061768,0,0,25330252.0,0,POINT (15891941 -4759442),15891941.0,-4759442.0
42,2.369936,-6.891306,-4.4491005,0,1,2025590500.0,9,POINT (15891941 -4758842),15891941.0,-4758842.0
43,2.8870606,-4.86065,-2.1007729,0,3,22266236.0,4,POINT (15891941 -4758242),15891941.0,-4758242.0
44,2.1412663,-4.0037208,-3.1426754,0,0,14196132.0,0,POINT (15891941 -4757642),15891941.0,-4757642.0
45,3.0353851,-4.9151344,-2.3367577,0,3,51500856.0,4,POINT (15891941 -4757042),15891941.0,-4757042.0
46,3.2780962,-6.4891605,-4.6164265,0,1,9132311000.0,9,POINT (15891941 -4756442),15891941.0,-4756442.0
47,3.4938993,-7.0749598,-4.487482,0,1,16795206000.0,9,POINT (15891941 -4755842),15891941.0,-4755842.0
48,3.6471567,-5.206873,-3.1099358,0,3,718479040.0,4,POINT (15891941 -4755242),15891941.0,-4755242.0
49,2.5482183,-6.845977,-4.740733,0,1,3868902700.0,9,POINT (15891941 -4754642),15891941.0,-4754642.0
50,2.809411,-7.2892227,-4.3594666,1,1,5670863000.0,9,POINT (15891941 -4754042),15891941.0,-4754042.0
51,3.0142398,-6.097275,-2.7247515,1,3,314921600.0,4,POINT (15891941 -4753442),15891941.0,-4753442.0
52,3.4273853,-5.7118354,-4.358031,0,1,4520063000.0,9,POINT (15891941 -4752842),15891941.0,-4752842.0
53,2.3644304,-6.5281096,-4.459158,0,1,1544663900.0,9,POINT (15891941 -4752242),15891941.0,-4752242.0
54,2.8193645,-6.8973465,-4.86084,0,1,7546107000.0,9,POINT (15891941 -4751642),15891941.0,-4751642.0
